fragment_smiles,source_label,n_conformers
CC(C)O[*:1],ZINC000257374611,1
C1CCN(C[*:1])CC1,ZINC000002120089,4
C1CCN([*:1])CC1,ZINC000002120089,1
CC(C)SSC(C)[*:1],ZINC000001674078,5
CC(C)SS[*:1],ZINC000001674078,5
NC1=N[C@@H]([*:1])CCN1,ZINC000085510489,1
CCOC(=O)/C=C/[*:1],ZINC000001648290,6
C/C=C/C=C/[*:1],ZINC000001648290,1
O=C(O)CC(=O)O[*:1],ZINC000015120433,5
Oc1cccc([*:1])c1,ZINC000257493047,1
CSCC(=O)NC[*:1],ZINC000004201040,9
CSCC(=O)N[*:1],ZINC000004201040,6
CS(=O)(=O)CCC[*:1],ZINC000257501523,8
O=C(O)C(=O)[C@H](O)[*:1],ZINC000006032433,2
C[C@H](C(=O)C(=O)O)[*:1],ZINC000006032433,3
O=C(O)C(=O)[*:1],ZINC000006032433,1
OC[C@@H](O)[*:1],ZINC000257778794,3
CC(C)[C@H](C)[*:1],ZINC000257460306,3
CC(C)[C@H](C)/C=C/[*:1],ZINC000257460306,5
OC/C=C\[*:1],ZINC000015152835,3
CCCCO[*:1],ZINC000253498390,6
CC[C@H]1O[C@@H]1[*:1],ZINC000014884853,3
CC[C@H]1O[C@@H]1C#C[*:1],ZINC000014884853,3
COC(=O)/C=C\[*:1],ZINC000014884853,2
O=S(=O)(O)OC[*:1],ZINC000100829833,1
C[C@@H]1CC(=O)O[C@@H]1[*:1],ZINC000005514846,3
C1=C(C[*:1])CCCC1,ZINC000005346448,4
C1=C([*:1])CCCC1,ZINC000005346448,2
C[C@@H](/C=C\[*:1])C(=O)O,ZINC000097759147,4
CCCCCO[*:1],ZINC000102855584,9
C1CC[C@H](C[*:1])NC1,ZINC000002031579,4
c1ncc(C[*:1])[nH]1,ZINC000013514837,4
c1ncc([*:1])[nH]1,ZINC000013514837,1
COCCO[*:1],ZINC000035424839,5
C1CC([*:1])C1,ZINC000035424839,1
CC(=O)[C@H](C)[*:1],ZINC000005441040,3
CCCO[*:1],ZINC000070692377,4
Clc1ccccc1[*:1],ZINC000070692377,1
Fc1ccc([*:1])cc1,ZINC000021944692,1
CCN[*:1],ZINC000085592615,2
CNC(=N)N[*:1],ZINC000085592615,1
CNCN[*:1],ZINC000085592615,2
CO[C@H]1C[C@H]([*:1])CO1,ZINC000140073270,2
C[C@H](CCC(=O)O)[*:1],ZINC000257446427,5
N[C@H](CC[*:1])C(=O)O,ZINC000085589047,4
N[C@H](C[*:1])C(=O)O,ZINC000085589047,3
N[C@@H](C(=O)O)[*:1],ZINC000085589047,1
COC(=O)CCC[*:1],ZINC000038141473,8
COC(=O)CC[*:1],ZINC000038141473,5
C1=N[C@H]([*:1])CC1,ZINC000003870284,1
C[C@H](C[*:1])C(=O)O,ZINC000261499000,6
C[C@H](CC[*:1])C(=O)O,ZINC000261499000,7
N[C@@H](CC(=O)O)[*:1],ZINC000003645672,6
C[C@H](CO)[*:1],ZINC000100777986,2
N[C@H](CC(=O)O)[*:1],ZINC000050027288,5
Brc1cccc([*:1])c1,ZINC000002115401,1
C[N+](C)(C)[*:1],ZINC000085589992,1
CSCCC(=O)O[*:1],ZINC000001707856,7
COC(=O)CCS[*:1],ZINC000001707856,7
C=C/C(C)=C\[*:1],ZINC000082039703,1
C=C/C(C)=C\C[*:1],ZINC000082039703,2
Nc1cc([*:1])ccn1,ZINC000085631503,1
CCC[C@@H](CO)[*:1],ZINC000085631503,7
CCC(CC)[*:1],ZINC000023442583,2
CCC(CC)C[*:1],ZINC000023442583,5
C[C@H](O)[C@@H](C(=O)O)[*:1],ZINC000034309943,7
Cc1cc([*:1])on1,ZINC000100743292,1
C1=C([*:1])CCC1,ZINC000055455756,1
NC(=O)CO[*:1],ZINC000000489528,4
O=C(O)[C@H](CS)[*:1],ZINC000003870040,6
O=C(NCCCO)[*:1],ZINC000253409214,8
CCC[C@@H](C(=O)O)[*:1],ZINC000002578897,6
C=C(C)/C=C\[*:1],ZINC000014684770,1
COC(=O)/C=C/[*:1],ZINC000058574669,2
SCC[C@@H](S)[*:1],ZINC000025695484,5
C[C@@H](CCS)[*:1],ZINC000025695484,6
C[C@H](S)C[*:1],ZINC000025695484,3
C[C@H](S)CC[*:1],ZINC000025695484,6
Brc1ccccc1[*:1],ZINC000000832608,1
Brc1ccc([*:1])cc1,ZINC000008789070,1
CC[C@H](C)[*:1],ZINC000002037148,2
CC[C@H](C)C[*:1],ZINC000002037148,4
CC[C@H](C)CC[*:1],ZINC000002037148,6
CC[C@H](C)CCC[*:1],ZINC000002037148,8
C/C=C/CC[*:1],ZINC000095618102,3
CC(C)OC(=S)S[*:1],ZINC000012660835,6
CC(=O)[C@@H](O)[*:1],ZINC000036478809,2
O=C1C=C([*:1])CO1,ZINC000118936990,1
Fc1ccccc1[*:1],ZINC000061997627,1
O=S(=O)(O)[*:1],ZINC000004416136,1
C[C@H]1C=C([*:1])C(=O)O1,ZINC000013463082,1
O=CCCCCC[*:1],ZINC000013463082,9
O=CCCCC[*:1],ZINC000013463082,7
O=CCCC[*:1],ZINC000013463082,7
O=CCC[*:1],ZINC000013463082,4
C[C@H]1N=C([*:1])CS1,ZINC000031361505,1
CC1=N[C@H]([*:1])SC1,ZINC000031361505,1
O=C(O)[C@H](O)[*:1],ZINC000013374815,1
O=C(O)[C@H](O)C[*:1],ZINC000013374815,3
O=C(O)[C@H](O)CC[*:1],ZINC000013374815,5
O=C(O)[C@@H](CCO)[*:1],ZINC000013374815,7
C[C@H](O)[C@H](O)[*:1],ZINC000005115873,3
OC[C@@H](O)[C@H](O)[*:1],ZINC000003869416,6
CN(C)C[*:1],ZINC000070666542,2
CN(C)[*:1],ZINC000070666542,1
CS/C=C/C(=O)O[*:1],ZINC000257478463,4
CS/C=C/[*:1],ZINC000257478463,2
N[C@@H](CO)[*:1],ZINC000005273797,2
N[C@@H](CO)C(=O)N[*:1],ZINC000005273797,4
c1ccc(C[*:1])nc1,ZINC000514289627,2
c1ccc([*:1])nc1,ZINC000514289627,1
N[C@H](CCC(=O)O)[*:1],ZINC000033995506,5
c1ncc(CC[*:1])[nH]1,ZINC000604404254,4
N[C@H](CO)[*:1],ZINC000005273845,2
N[C@H](CO)C(=O)N[*:1],ZINC000005273845,5
CC(C)[C@H](O)[*:1],ZINC000005412472,3
CC(C)[C@H](O)C(=O)[*:1],ZINC000005412472,6
