framework_scaffold	count
C1CCO[C@H](C1)O[C@@H]2CCO[C@@H]([C@H]2O[C@H]3CCCCO3)O[C@H]4CC[C@@H]5[C@H](C4)CC[C@H]6[C@H]5CC[C@@H]7[C@@H]6C[C@@H]8[C@H]7C[C@@]9(O8)CCCCO9	28
c1coc2c1C[C@@H]3CCCC[C@H]3C2	28
c1cc2cc(c1)OCCNCCNCCC2	28
C1C[C@H]2CO[C@@]3(C1)[C@H]2C[C@@]45[C@@H]3CC[C@H](C4)CC5	28
c1ccc(cc1)/C=C\c2cccc(c2)O[C@H]3CCCCO3	28
C1CCO[C@H](C1)O[C@H]2CC[C@@H]3[C@H]4CC[C@@H]5C[C@@H](C[C@@H]5[C@@H]4CC=C3C2)O[C@@H]6CCCCO6	28
c1ccc(cc1)C2=CCc3cccc(c3O2)O[C@@H]4CCCCO4	28
c1ccc(cc1)C2=CCc3ccc(cc3O2)O[C@@H]4[C@H](CCCO4)O[C@H]5CCCO5	28
c1ccc(cc1)C2=CCc3ccc(cc3O2)O[C@@H]4CCC[C@@H](O4)CO[C@H]5CCCCO5	27
C1CC[C@H]2[C@@H](C1)CCC3=C2CC[C@@H]4[C@H]3CCC4	27
c1ccc(cc1)[C@@H]2CCc3ccc(cc3O2)O[C@@H]4CCCCO4	27
C1CC[C@H]2[C@H](C1)CC[C@@H]3[C@@H]2CC=C4[C@@H]3CC[C@@H]5[C@@H]4CCCC5	27
C1C[C@@H](OC1)N2CN=CC=C2	27
c1ccc2c(c1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3CCC4	27
c1ccc(cc1)C2=CCc3cc(ccc3O2)[C@@H]4CCCCO4	27
C1[C@@H]2[C@@H]3C2CC1C3	27
c1ccc(cc1)[C@@H]2c3c(c4ccccc4[nH]3)C[C@@H]5N2CN(C5)c6ccccc6	27
c1ccc(cc1)c2ccccc2	27
c1ccc(cc1)CNc2ccccc2	27
C1CC[C@@H](CC1)/C=C/CO[C@H]2OCCCC2	27
c1ccc(cc1)CCCNCCc2ccccc2	26
c1ccc(cc1)[C@@H]2Cc3ccccc3O2	26
c1ccc(cc1)c2cc3ccccc3o2	26
c1ccc2c(c1)Cc3cccc(c3C2)O[C@H]4CCCCO4	26
C1CCC2=C(CC1)CCC2	26
c1ccc(cc1)C2=CCc3cc(ccc3O2)[C@H]4[C@H](CCCO4)O[C@H]5CCCCO5	26
C1CCO[C@@H](C1)O[C@H]2CCOC2	25
C1C=CNCN1	25
C1CCO[C@H](C1)O[C@@H]2CC[C@@H]3[C@H]4CC[C@@H]5CCC[C@H]5[C@@H]4CC=C3C2	25
C1C[C@@H]2[C@H]3CC[C@@H]([C@]34CO4)O[C@H]2C=C1	25
C1CCO[C@@H](C1)OC[C@@H]2CCC[C@@H]3[C@H]2CC[C@H]4[C@H]3CC[C@@H]5[C@@H]4CCC5	25
C1C[C@]2(CC=CCC2)CC1	25
C1[C@H]2C[C@H](C2)C=C1	25
c1ccc(cc1)[C@H]2Cc3ccccc3O2	25
c1ccc(cc1)[C@H]2CC[C@H](O2)c3ccccc3	25
c1cc2c-3c(c1)OCc4c3c(c(cc4)O[C@H]5CCCCO5)OC2	25
c1ccc2c(c1)cccc2O[C@H]3CCCCO3	25
c1ccc(cc1)NC[C@@H]2[C@H]3O[C@]4([C@@H]2CN[C@H]4CN[C@H]5CCCCC5)C=C3	25
C1C[C@H](OC1)CCCCCCCCCCC[C@H]2CC[C@H](O2)[C@H]3CCCO3	25
C1CC[C@@H]2[C@@H](C1)O2	25
C1CCC2=CCC[C@H]2C1	25
c1c2c(cc3c1C=CCO3)OCCC2	25
c1ccc(cc1)C2=CCc3cccc(c3O2)[C@@H]4CCCCO4	24
c1ccc(cc1)C2=C(Cc3ccc(cc3O2)O[C@H]4CCCCO4)O[C@@H]5[C@H](CCCO5)O[C@H]6CCCCO6	24
C1CC=COC1	24
c1ccc(cc1)CCCc2ccccc2	24
c1ccc(cc1)Cc2cccc3c2OC(=CC3)c4ccccc4	24
C1COC=C1	24
c1coc2c1C[C@H]3CCCC[C@@H]3C2	24
c1cc2c(cc1CCO[C@H]3CCCCO3)CCC2	24
C1CCSC1	24
C1CC[C@@H]2[C@@H](C1)CC[C@H]3C2=CC[C@@H]4[C@H]3CC[C@@H]5[C@H]4CC[C@H](C5)O[C@@H]6[C@H]([C@@H](CCO6)O[C@H]7CCCCO7)O[C@H]8CCCCO8	24
c1ccc(cc1)C2=C(Cc3ccccc3O2)O[C@H]4[C@H](CCCO4)O[C@H]5CCCCO5	24
C1CCO[C@H](C1)OC[C@H]2CCC[C@H](O2)O[C@@H]3CC[C@H]4[C@@H]5CC[C@@H]6CCC[C@@H]6[C@H]5CC=C4C3	24
C1CC[C@@H]2[C@H](C1)CC[C@H]3C2=CC[C@H]4[C@H]3CC[C@H]5[C@@H]4CC[C@H](C5)O[C@@H]6[C@H](CCCO6)O[C@@H]7[C@@H](CCCO7)O[C@H]8CCCCO8	24
c1ccc(cc1)Cc2ccccc2	24
c1ccc2c(c1)c3c(o2)-c4ccccc4OC3	24
c1ccc(cc1)CO[C@@H]2C[C@H]3[C@H]2C=C[C@@H]4[C@H]3CCC4	23
C1CC[C@H]2[C@H](C1)CCC3=C2CC[C@@H]4[C@H]3CCC4	23
c1ccc(cc1)[C@H]2CCOc3c2c4c(cc3)CC(=CO4)c5ccccc5	23
c1ccc(cc1)C2=CCc3cccc(c3O2)[C@H]4CCCCO4	23
c1ccc(cc1)COC[C@@H]2CCC[C@@H](O2)Oc3ccccc3	23
c1ccc(cc1)CO[C@@H]2C[C@H]3[C@@H]2C=C[C@@H]4[C@H]3CCC4	23
C1C[C@@H](OC1)CCCCCCCCCCCC2=CCOC2	23
c1ccc(cc1)CC2=Cc3ccccc3OC2	23
c1cc2c(cc1CCO[C@@H]3CCCCO3)CCC2	23
c1ccc(cc1)[C@H]2c3c(c4ccccc4[nH]3)C[C@@H]5N2CN(C5)c6ccccc6	23
c1ccc2c(c1)CC=CO2	23
C1CC[C@H]2[C@@H](C1)CC[C@@H]3[C@@H]2CC[C@H]4[C@H]3C[C@H]5[C@@H]4C[C@@]6(O5)CCCCO6	22
c1ccc-2c(c1)C[C@H]3c4c2cccc4CCN3	22
c1ccc(cc1)CCCCc2ccccc2	22
