zinc_id	smiles	framework	ring	sidechain
ZINC000257407282	C[C@@H]1CC[C@]2(OC1)O[C@@H]1C[C@@H]3[C@H]4CC=C5C[C@@H](O[C@H]6O[C@@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]8O)[C@@H]7O)[C@@H](O)[C@@H]6O)[C@@H](O)C[C@@]5(C)[C@@H]4CC[C@@]3(C)[C@@H]1[C@H]2C	C1CCO[C@H](C1)O[C@H]2CCO[C@H](C2)O[C@@H]3CC[C@H](OC3)O[C@H]4CC[C@H]5[C@@H]6CC[C@@H]7[C@@H]([C@H]6CC=C5C4)C[C@@H]8[C@H]7C[C@@]9(O8)CCCCO9	C1CCOCC1.C1CCOCC1.C1CCOCC1.C1CCC2=CC[C@H]3[C@H]([C@@H]2C1)CC[C@@H]4[C@@H]3C[C@@H]5[C@H]4C[C@@]6(O5)CCCCO6	C.C.C.C.CO.CO.CO.O.O.O.O.O.O.O.O
ZINC000169623072	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	None	None	None
ZINC000100820623	OC[C@@H]1O[C@H](OC[C@@H]2O[C@@H](O)[C@@H](O)[C@@H](O)[C@@H]2O[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O	C1CCO[C@@H](C1)OC[C@H]2[C@H](CCCO2)O[C@H]3CCCCO3	C1CCOCC1.C1CCOCC1.C1CCOCC1	CO.CO.O.O.O.O.O.O.O.O.O
ZINC000014763052	COc1cc(O)c2c(=O)c3ccc(O)c(O)c3oc2c1CC=C(C)C	c1ccc2c(c1)Cc3ccccc3O2	c1ccc2c(c1)Cc3ccccc3O2	CC=C(C)C.CO.O.O.O.O
ZINC000150379205	CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCCCC/C=C\CCCCCC	None	None	None
ZINC000150378359	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCC)OC(=O)CCCCCCCCCCCCCC	None	None	None
ZINC000257395031	C[C@]12OC(=O)[C@@]3(O)CC[C@H]4[C@@H](C[C@@H](O)C5=CC=CC(=O)[C@@]54C)[C@]45OC[C@H]6C(=O)O[C@@H]1C[C@]6(C)[C@H](C4=O)[C@@]23O5	C1C[C@H]2[C@@H](CCC3=CC=CC[C@H]23)[C@]45C[C@H]6[C@H]7C[C@H]([C@H]8[C@]6([C@H]1CO8)O4)OC[C@@H]7CO5	C1C[C@H]2[C@@H](CCC3=CC=CC[C@H]23)[C@]45C[C@H]6[C@H]7C[C@H]([C@H]8[C@]6([C@H]1CO8)O4)OC[C@@H]7CO5	C.C.C.O.O.O.O.O.O
ZINC000085581481	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCC/C=C\CCCCCC)CO[P@@](=O)(O)OCCN	None	None	None
ZINC000214515819	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	None	None	None
ZINC000685934952	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCCCCC/C=C\CCCCCC	None	None	None
