smiles	zinc_id	tags
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	ZINC000261498545	endogenous in-man
C=C(C)[C@H]1CC[C@]2(C)CC[C@@H](O)C(=C)[C@@H]2C1	ZINC000015207092	endogenous in-man
CC(C)[C@@H](N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O	ZINC000003156382	endogenous in-man
CC/C=C(/CC[C@H](C)[C@@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@@]12C)C(C)C	ZINC000257478194	endogenous in-man
Cc1cc(O)c2c(c1)C(=O)c1cccc(O[C@H]3O[C@@H](COC(=O)c4cc(O)c(O)c(O)c4)[C@@H](O)[C@@H](O)[C@@H]3O)c1C2=O	ZINC000085588754	endogenous in-man
COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@H]2O[C@@H](CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O	ZINC000257198431	endogenous in-man
Cn1c2ccccc2c(=O)c2c(O)cc3c(c21)C[C@H]([C@@](C)(Cl)CO)O3	ZINC000014689040	endogenous in-man
C/C(=C\CC[C@@](C)(O)c1ccc(C)cc1)C(=O)O	ZINC000031166636	biogenic in-vitro
CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@@H](COCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	ZINC000095624795	endogenous in-man
CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1C[C@@H](O)[C@]1(C)[C@@H]2C(=O)C[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@@]321	ZINC000103565487	biogenic in-vitro
C/C=C1\[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)O	ZINC000257628776	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COC(=O)CCCCCCCCCCCCCCCCC	ZINC000150360726	endogenous in-man
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC[C@H](COC(=O)CCCCCCCCCCC/C=C\CCCCCCCC)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC	ZINC000150375523	endogenous in-man
C=C1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@]5(C)CCC(=O)C(C)(C)[C@@H]5CC[C@@]43C)[C@H]2[C@@H]1C	ZINC000257807710	endogenous in-man
